startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,HKTimeZone,HKWeatherTemperature,HKAverageMETs,HKWeatherHumidity
2021-04-17 17:23:49 +0000,2021-04-17 18:26:34 +0000,TraditionalStrengthTraining,3765.463363,sec,724.601 kcal,,America/New_York,64.4 degF,9.16527,3400
2021-04-20 01:02:09 +0000,2021-04-20 02:12:59 +0000,TraditionalStrengthTraining,4250.650526,sec,783.346 kcal,,America/New_York,55.4 degF,8.67541,5500
2021-04-23 01:12:38 +0000,2021-04-23 02:15:16 +0000,TraditionalStrengthTraining,3758.032102,sec,835.538 kcal,,America/New_York,46.4 degF,10.6954,4100
2021-04-27 00:57:46 +0000,2021-04-27 01:58:15 +0000,TraditionalStrengthTraining,3629.860768,sec,480.307 kcal,,America/New_York,62.6 degF,5.50023,4700
2021-04-27 15:54:16 +0000,2021-04-27 16:54:59 +0000,TraditionalStrengthTraining,3643.399157,sec,590.176 kcal,,America/New_York,75.2 degF,7.33706,4300
2021-04-30 01:02:44 +0000,2021-04-30 02:14:17 +0000,TraditionalStrengthTraining,4293.973726,sec,807.513 kcal,,America/New_York,75.2 degF,8.90276,5100
2021-05-02 21:12:09 +0000,2021-05-02 22:17:47 +0000,TraditionalStrengthTraining,3937.405922,sec,921.631 kcal,,America/New_York,78.8 degF,11.3009,3600
2021-05-07 01:00:32 +0000,2021-05-07 01:54:35 +0000,TraditionalStrengthTraining,3243.592892,sec,580.817 kcal,,America/New_York,60.8 degF,8.45463,5700
2021-05-09 19:50:56 +0000,2021-05-09 20:57:35 +0000,TraditionalStrengthTraining,3998.888867,sec,748.296 kcal,,America/New_York,78.8 degF,8.86343,3300
2021-05-12 00:38:16 +0000,2021-05-12 01:40:59 +0000,TraditionalStrengthTraining,3762.691744,sec,660.162 kcal,,America/New_York,60.8 degF,8.15001,6300
2021-05-15 20:30:21 +0000,2021-05-15 21:22:00 +0000,TraditionalStrengthTraining,3099.396064,sec,534.198 kcal,,America/New_York,71.6 degF,8.17444,2400
2021-05-25 17:43:43 +0000,2021-05-25 18:27:35 +0000,TraditionalStrengthTraining,2631.961708,sec,486.368 kcal,,America/New_York,80.6 degF,9.04297,6000
2021-05-29 18:07:51 +0000,2021-05-29 19:08:57 +0000,TraditionalStrengthTraining,3665.920639,sec,582.387 kcal,,America/New_York,75.2 degF,7.55002,6100
2021-06-02 19:17:00 +0000,2021-06-02 20:07:31 +0000,TraditionalStrengthTraining,3030.113861,sec,352.573 kcal,,America/New_York,75.2 degF,4.70613,6900
2021-06-11 19:09:27 +0000,2021-06-11 20:04:22 +0000,TraditionalStrengthTraining,3294.27832,sec,673.385 kcal,,America/New_York,75.2 degF,9.90246,8100
2021-06-12 18:05:54 +0000,2021-06-12 19:07:06 +0000,TraditionalStrengthTraining,3672.371464,sec,587.916 kcal,,America/New_York,75.2 degF,7.47789,7400
2021-06-26 19:33:07 +0000,2021-06-26 19:39:23 +0000,TraditionalStrengthTraining,375.683475,sec,34.9546 kcal,,America/New_York,84.2 degF,3.522,5500
2021-06-27 20:17:53 +0000,2021-06-27 21:09:32 +0000,TraditionalStrengthTraining,3098.232882,sec,651.606 kcal,,America/New_York,87.8 degF,10.2646,4800
2021-06-29 00:17:45 +0000,2021-06-29 01:10:43 +0000,TraditionalStrengthTraining,3177.790113,sec,456.383 kcal,,America/New_York,80.6 degF,6.5743,6100
2021-06-29 20:28:38 +0000,2021-06-29 21:17:11 +0000,TraditionalStrengthTraining,2913.239666,sec,448.236 kcal,,America/New_York,87.8 degF,7.23576,4700
2021-06-30 16:11:43 +0000,2021-06-30 17:05:32 +0000,TraditionalStrengthTraining,3228.835516,sec,596.033 kcal,,America/New_York,87.8 degF,8.80747,5100
2021-07-06 14:47:00 +0000,2021-07-06 16:26:31 +0000,TraditionalStrengthTraining,5971.307009,sec,1305.08 kcal,,America/New_York,84.2 degF,10.6351,5600
2021-07-07 13:00:48 +0000,2021-07-07 14:43:00 +0000,TraditionalStrengthTraining,6132.483647,sec,1233.78 kcal,,America/New_York,80.6 degF,9.82477,7000
2021-07-08 15:01:20 +0000,2021-07-08 16:13:23 +0000,TraditionalStrengthTraining,4323.813619,sec,826.368 kcal,,America/New_York,84.2 degF,9.32411,7200
2021-07-12 17:00:56 +0000,2021-07-12 17:46:33 +0000,TraditionalStrengthTraining,2737.230093,sec,596.457 kcal,,America/New_York,87.8 degF,10.5688,5300
2021-07-14 15:47:46 +0000,2021-07-14 16:54:35 +0000,TraditionalStrengthTraining,4009.209245,sec,934.252 kcal,,America/New_York,84.2 degF,11.2474,5700
2021-07-15 10:53:07 +0000,2021-07-15 12:26:08 +0000,TraditionalStrengthTraining,5581.159307,sec,993.84 kcal,,America/New_York,69.8 degF,8.58995,9800
